user_id,orders_per_user
1,2
3,1
4,2
5,1
6,1
7,1
8,4
10,2
11,4
12,1
15,1
16,4
19,1
20,1
23,1
25,1
26,2
27,1
29,2
31,1
33,3
36,1
37,2
38,1
39,1
40,1
41,1
42,4
43,2
44,1
48,2
50,1
51,4
52,1
53,1
60,1
61,1
63,1
66,1
67,1
68,1
70,2
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,2
90,3
93,1
95,1
96,2
98,1
103,1
106,1
109,1
110,2
111,2
113,1
116,3
117,1
119,1
121,1
122,2
125,2
128,2
130,1
131,4
133,2
137,2
138,4
139,1
140,3
141,1
145,2
146,2
147,2
150,1
155,2
156,1
157,1
158,2
159,2
160,1
161,3
162,1
163,1
165,4
166,1
169,1
171,1
172,1
177,1
178,1
180,1
183,1
184,2
186,1
187,1
188,1
190,1
193,1
195,1
196,2
197,2
198,3
200,1
201,1
203,1
205,1
207,2
209,2
210,1
211,1
213,1
214,1
215,1
217,1
218,1
221,1
222,2
225,1
226,1
228,2
229,2
230,1
231,1
234,1
236,1
239,2
240,1
241,1
242,2
244,3
245,1
246,1
249,1
250,1
253,1
254,1
261,1
262,1
264,1
265,1
266,1
267,1
269,1
272,1
273,1
274,1
276,2
277,1
278,1
279,1
281,1
282,1
285,1
287,2
289,1
293,1
295,1
297,2
298,1
300,1
302,1
303,1
304,1
305,1
309,2
311,2
312,2
313,1
316,1
319,1
320,3
321,1
323,1
325,1
327,1
328,1
329,1
330,2
332,4
333,1
334,2
336,1
337,1
339,1
342,1
344,1
346,2
347,1
349,2
353,1
356,1
357,1
358,1
360,1
361,1
363,2
365,1
367,1
370,1
371,2
373,1
374,3
375,2
379,3
380,1
381,2
382,1
385,2
387,1
388,1
389,1
390,2
393,1
395,1
396,1
398,1
402,1
403,1
406,1
409,1
410,3
411,1
412,1
413,2
414,1
415,1
416,1
417,3
418,1
419,2
421,1
422,1
423,2
424,1
427,1
428,2
429,2
430,4
431,1
432,1
433,1
434,1
435,1
437,1
438,1
439,2
441,2
442,1
446,1
447,1
449,1
450,2
454,1
455,3
456,1
457,1
458,1
459,3
460,2
462,1
465,1
466,1
467,2
468,4
473,1
475,1
478,1
479,1
480,1
484,1
485,1
487,1
490,1
494,1
496,1
497,1
499,2
500,1
501,1
506,1
509,1
514,1
515,1
517,1
518,2
519,1
520,1
522,1
523,1
526,1
527,1
528,1
529,1
530,4
531,1
532,1
533,1
534,1
536,1
539,1
541,3
543,1
546,1
547,2
549,2
554,1
558,1
559,1
561,1
562,1
564,1
565,1
566,1
569,1
570,1
571,4
572,1
573,1
576,1
578,2
579,1
580,2
581,2
583,2
584,1
585,1
587,1
588,1
589,4
590,1
592,1
593,1
594,1
595,1
597,2
598,2
599,3
600,1
601,1
602,2
604,3
605,1
606,1
608,1
610,2
611,2
612,1
613,1
615,3
616,1
617,1
619,1
621,1
622,1
623,1
624,2
625,1
626,1
629,1
633,1
634,1
635,1
636,2
638,1
640,1
641,3
642,1
644,2
646,2
647,1
648,1
649,1
650,2
652,1
653,1
654,2
656,3
657,1
659,1
660,1
663,1
664,1
666,4
675,1
677,3
678,2
679,1
680,1
681,1
683,1
684,2
685,1
694,1
696,2
697,1
699,1
700,1
702,1
704,1
705,1
707,1
708,2
709,1
711,1
713,1
716,1
717,2
718,1
719,2
720,1
721,1
722,1
724,1
725,2
726,1
727,2
729,1
731,1
732,2
733,3
734,1
736,1
737,2
738,1
741,1
